dataset,ticker,session_date,rows,file_path,status,message
stock_minute_1,SPY,2023-07-28,777,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-07-28\data.parquet,ok,
stock_minute_1,SPY,2023-07-31,768,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-07-31\data.parquet,ok,
stock_minute_1,SPY,2023-08-01,857,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-08-01\data.parquet,ok,
stock_minute_1,SPY,2023-08-02,885,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-08-02\data.parquet,ok,
stock_minute_1,SPY,2023-08-03,864,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-08-03\data.parquet,ok,
stock_minute_1,SPY,2023-08-04,805,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-08-04\data.parquet,ok,
stock_minute_1,SPY,2023-08-07,800,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-08-07\data.parquet,ok,
stock_minute_1,SPY,2023-08-08,811,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-08-08\data.parquet,ok,
stock_minute_1,SPY,2023-08-09,791,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-08-09\data.parquet,ok,
stock_minute_1,SPY,2023-08-10,821,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-08-10\data.parquet,ok,
stock_minute_1,SPY,2023-08-11,773,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-08-11\data.parquet,ok,
stock_minute_1,SPY,2023-08-14,805,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-08-14\data.parquet,ok,
stock_minute_1,SPY,2023-08-15,851,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-08-15\data.parquet,ok,
stock_minute_1,SPY,2023-08-16,835,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-08-16\data.parquet,ok,
